subId,subjectName,subjectType,subName
403,Software Lab-V(DBMS Lab),Theory,DBMS Lab
404,DESIGN ENGINEERING,Theory,04ME6504
405,Basics of Civil Engineering,Theory,CE100
406,PHYSICS LAB,Theory,Ph lab
407,CIVIL WORKSHOP,Theory,CW
408,CHEMISTRY LAB,Theory,CH LAB
409,Electrical Workshop,Theory,EWS
410,Advanced Communication Systems,Theory,EC404
411,Maters Thesis Phase-I,Theory,Maters Thesis Phase-I
412,Miniproject-Industrail Training,Theory,Miniproject/ Industrail Training
413,Differential Equations,Theory,MA102
414,ENGINEERING MATHEMATICS III,Theory,EM3
415,Object Oriented Programming,Theory,EE361
416,DATA STRUCTURES AND ALGORITHMS,Theory,DSA
417,Structural Analysis- III,Theory,CE403
418,Theory of Computation,Theory,IT303
419,MICROPROCESSOR SYSTEMS,Theory,MS
420,Design and Analysis of Algorithm,Theory,RLMCA207
421,INTERNET COMPUTING,Theory,IC
422,UNIX Shell Programming,Theory,IT363
423,OPERATING SYSTEM LAB,Theory,OS Lab
424,ARTIFICIAL INTELLIGENCE,Theory,AI
425,SECURITY IN COMPUTING,Theory,SIC
426,ELECTIVE III,Theory,EL III
427,ELECTIVE IV,Theory,EL IV
428,COMPUTER GRAPHICS LAB,Theory,CG Lab
429,Advanced Database Management,Theory,04CS6102
430,Automata Theory and Computability,Theory,04CS6104
431,High Performance Computer Architecture,Theory,04CS6106
432,Web Security,Theory,04CS6114
433,Digital Image Processing,Theory,04CS6122
434,Advanced Computing Lab,Theory,04CS6194
435,HEAT TRANSFER I ,Theory,HTI
436,ORGANIC CHEMISTRY ,Theory,OC
437,MECHANICAL OPERATIONS,Theory,MO
438,MACHINE DRAWING,Theory,MD
439,CHEMICAL ENGINEERING THERMODYNAMICSI ,Theory,CETD I
440,Fluid and Particle Mechanics Lab,Theory,CH232
441,PHYSICAL &ORGANIC CHEMISTRY LAB,Theory,POC LAB
442,Mass transfer operations II,Theory,CH306
443,Environmental Engineering,Theory,CH301
444,CHEMICAL TECHNOLOGY II,Theory,CT II
445,Process dynamics and control,Theory,CH302
446,CHEMCIAL REACTION ENGINEERING II,Theory,CRE II
447,MATERIAL SCIENCE AND ENGINEERING ,Theory,ELECTIVE
448,MODELING AND SIMULATION FOR PROCESS INDUSTRIES,Theory,ELECTIVE
449,ENVIRONMENTAL ENGINERERING LAB,Lab,ENV LAB
450,Heat Transfer Operations Lab,Theory,CH331
451,Materials Characterisation,Theory,MT312
452,"Creep, Fatigue and Fracture Mechanics",Theory,CFF
453,Alloy design and applications,Theory,ADA
454,Operations Management,Theory,OM
455,Industrial Safety,Theory,IS
456,Non Destructive Testing Laboratory,Theory,ADTL
457,Non-Ferrous Physical Metallurgy,Theory,MT306
458,Advanced and Secondary Steel Making,Theory,MT304
459,Foundry Technology,Theory,FT
460,Metallography and X-ray diffraction,Theory,MXD
461,Non-ferrous extractive metallurgy,Theory,NFEM
462,Nuclear Metallurgy,Theory,MT362
463,Metallography Laboratory,Theory,ML
464,Foundry Laboratory,Theory,FL
465,Mechanical Behaviour and Testing,Theory,MT208
466,Phase Transformation and heat treatment,Theory,FTHT
467,"Electrical, Electronic, optical and magnetic materials",Theory,EEOM
468,Transport Phenomenon,Theory,TP
469,Heat treatment of ferrous metals laboratory,Theory,HTFML
470,Mechanical Testing Lab,Theory,MT234
471,Design of Transmission Elements,Theory,DTE
472,Special Type of Vehicles,Theory,STV
473,Automobile Workshop 3,Theory,Automobile Workshop 3
474,Mechanics of Machines,Theory,MM
475,Heat and Mass Transfer,Theory,ME302
476,Auto Transmission,Theory,AU206
477,Metrology and Machine Tools,Theory,MMT
478,Mechatronics and Control Systems,Theory,MCS
479,Heat Engines Laboratory,Theory,HEL
480,Machine Tool Laboratory,Theory,MTL
481,Auto Power Plant,Theory,APP
482,Manufacturing Processes,Theory,ME311
483,Electrical Technology,Theory,ET
484,Automobile Workshop I,Theory,Automobile Workshop I
485,Strength of Materials Lab,Theory,SML
486,Wireless Communication,Theory,WC
487,Communication Networks,Theory,CN
488,Light Wave Communication,Theory,LWC
489,VLSI and Embedded Systems lab,Theory,VLSI LAB
490,Digital Communication Techniques,Theory,DCT
491,Radiation and Propagation,Theory,RP
492,Computer Architecture and Parallel Processing,Theory,CAPP
493,Microcontrollers and Applications,Theory,MA 102
494,Medical Electronics,Theory,ME
495,Television & Radar Engineering,Theory,TRE
496,Microprocessor & Microcontroller Lab,Theory,MMC
497,Cryptography and Cyber Security,Theory,RLMCA305
498,WAD Lab,Theory,WAD
499,Construction Engineering and Management,Theory,CEM
500,Mechanics of Solids II,Theory,MS II
501,Open Channel Flow and Hydraulic Machines,Theory,OCFHM
502,Surveying II,Theory,Surveying II
503,Civil Engineering Drafting Lab,Theory,CE231
504,Survey Practical II,Theory,Survey Practical II
505,Hydraulics Lab,Theory,Hydraulics Lab
506,Economics ,Theory,Economics 
507,Design of Steel Structures,Theory,CE401
508,Geotechnical Engineering II,Theory,GEII
509,Structural Analysis II,Theory,SA II
510,Transportation Engineering-I,Theory,CE308
511,Water Resources Engineering,Theory,CE309
512,Concrete Technology,Theory,CT
513,Computer aided Design and Drafting Lab,Theory,CAD
514,Material Testing Lab II,Theory,MT II
